"","Species","MFU-52193-1024-1-d1_S36","MFU-52193-1044-1-d1_S77","MFU-52193-1048-1-d1_S38","MFU-52193-1079-1-d1_S52","MFU-52193-1091-1-d1_S44","MFU-52193-1093-1-d1_S48","MFU-52193-1115-1-d1_S84","MFU-52193-1139-1-d5_S63","MFU-52193-1157-1-d1_S78","MFU-52193-1201-1-d5_S87","MFU-52193-1231-1-d1_S82","MFU-52193-124-1-d1_S55","MFU-52193-1243-1-d1_S10","MFU-52193-1253-1-d1_S81","MFU-52193-1267-1-d1_S23","MFU-52193-1275-1-d5_S16","MFU-52193-1279-1-d5_S62","MFU-52193-1281-1-d1_S45","MFU-52193-1295-1-d1_S34","MFU-52193-1299-1-d5_S60","MFU-52193-1314-1-d5_S4","MFU-52193-1334-1-d1_S40","MFU-52193-1385-1-d1_S74","MFU-52193-1449-1-d1_S71","MFU-52193-1453-1-d1_S83","MFU-52193-1474-1-d1_S80","MFU-52193-150-1-d5_S86","MFU-52193-1501-1-d1_S13","MFU-52193-1555-1-d1_S42","MFU-52193-156-1-d1_S56","MFU-52193-1575-1-d1_S21","MFU-52193-1591-1-d1_S88","MFU-52193-170-1-d1_S33","MFU-52193-1700-1-d1_S7","MFU-52193-1735-1-d5_S47","MFU-52193-178-1-d1_S30","MFU-52193-1811-1-d1_S54","MFU-52193-182-1-d1_S22","MFU-52193-1861-1-d1_S15","MFU-52193-1869-1-d1_S69","MFU-52193-1871-1-d1_S18","MFU-52193-202-1-d1_S66","MFU-52193-227-1-d1_S75","MFU-52193-300-1-d1_S17","MFU-52193-332-1-d5_S2","MFU-52193-338-1-d1_S64","MFU-52193-352-1-d1_S26","MFU-52193-372-1-d1_S76","MFU-52193-408-1-d1_S57","MFU-52193-423-1-d1_S35","MFU-52193-435-1-d1_S31","MFU-52193-506-1-d1_S49","MFU-52193-517-1-d1_S19","MFU-52193-529-1-d1_S85","MFU-52193-617-1-d1_S72","MFU-52193-62-1-d1_S29","MFU-52193-645-1-d1_S67","MFU-52193-700-1-d1_S50","MFU-52193-72-1-d1_S24","MFU-52193-734-1-d5_S79","MFU-52193-789-1-d1_S5","MFU-52193-808-1-d5_S11","MFU-52193-823-1-d1_S9","MFU-52193-847-1-d1_S37","MFU-52193-874-1-d5_S68","MFU-52193-878-1-d1_S39","MFU-52193-898-1-d5_S27","MFU-52193-910-1-d5_S51","MFU-52193-977-1-d1_S53","MFU-52193-979-1-d1_S3","MFU-52193-991-1-d1_S8","MFU-52193-993-1-d5_S41","MFU-52193-997-1-d1_S20"
"1","Anoplopoma fimbria",127,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,0,0
"2","Chauliodus macouni",293,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Diaphus theta",917,5399,686,0,4468,1059,0,0,0,0,863,957,4123,0,0,1084,0,0,0,4235,0,0,1423,0,0,0,0,2685,0,5018,0,1159,916,0,0,0,4626,826,24382,0,13038,530,0,0,0,2111,57775,1317,0,8189,14057,0,1312,1514,397,0,0,0,1746,0,87739,0,3970,228,0,5206,0,0,18082,27109,2858,0,0
"4","Engraulis mordax",187,3013,0,0,0,0,0,0,0,34733,0,0,0,0,0,286764,19671,0,0,0,21715,0,3550,0,0,0,0,0,0,0,0,0,0,0,34509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16319,0,0,0,263315,426,20852,294102,0,0,932,6986,0
"5","Merluccius productus",17899,5685,1611,7740,5869,66,2169,5803,1941,55,0,76965,0,0,0,0,260,21465,11636,15886,0,6713,39404,0,0,1543,5198,5386,0,3662,0,4006,46897,47096,1841,33598,71271,52277,4584,102692,1690,4280,15330,10945,0,480,285850,8289,1,1881,70463,8,1500,4524,2623,0,9003,118251,4764,17,755817,8669,2162,0,0,5799,926,27,22065,20104,16770,2002,976
"6","Stenobrachius leucopsarus",350,1836,0,0,562,0,0,0,6079,0,0,0,0,0,0,0,0,1344,1371,0,0,0,3374,2345,0,628,214927,746,37,1987,608,0,0,0,0,0,2978,686,7060,0,5916,2719,5374,3306,0,0,2330,1409,0,1324,6909,1383,2366,0,2266,0,1051,0,0,0,0,0,1338,274,0,1601,0,0,2451,0,0,0,0
"7","Tarletonbeania crenularis",200,2386,852,1298,10734,0,995,0,3610,0,8426,0,0,0,18597,0,0,0,7593,0,0,2572,16885,0,1392,0,2159,0,0,4427,0,5839,2058,0,152584,0,0,1441,10900,0,1149,0,0,0,0,2811,1081,0,0,0,0,0,7591,4691,0,0,3962,1435,2009,286,0,307,0,0,0,205,0,0,0,11595,0,400202,0
"8","Trachurus symmetricus",4804,0,3278,0,714,0,0,0,0,0,0,9209,0,0,0,802,2404,0,0,0,67642,0,0,0,0,0,0,0,0,0,0,0,1602,0,0,0,0,7024,0,0,0,0,0,0,5,1000,18670,0,0,5489,27259,5,34,0,547,0,0,1403,0,69,61677,0,0,85,9923,679,4238,101,3537,964,0,3062,0
"9","Clupea pallasii",0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,1031,6354,1616,0,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521,41,0,0,0,0,0,0,2064,117,2762
"10","Sardinops sagax",0,12209,0,0,0,0,0,3699,0,4787,0,3260,0,0,0,962,1061,0,0,0,53552,0,0,0,0,0,128274,0,0,0,0,0,590,3738,0,0,0,0,0,0,0,0,1199,0,118,0,1930,0,0,105,5588,0,0,0,0,0,0,4916,0,13304,13692,0,8039,48,21106,0,43184,62646,0,0,0,86,0
