Sample_name,Label,Hash,nReads
MFU-52345-210_S346,MFU,ea13a78f97173aa5462287bfc5ade3e5f866142f,3
MFU-52345-208_S344,MFU,7756241315832a72acaf4e2500c34f4bb7a8986d,2
MFU-52345-184_S320,MFU,191da1711d277888fbfed7f76fcfa63814e55568,3
MFU-52345-175_S311,MFU,9cb3fa29ffa9d722fecc4902417a2fb8e327e674,5
MFU-52345-197_S333,MFU,48bc56556ec06545ef08eb759abd9a8465157f68,2
MFU-52345-195_S331,MFU,965ab01b4d84fc4b4c39bd1d1ff40b18c45ccb8d,4
MFU-52345-189_S325,MFU,c9c48b5f462ccce8114d54f0d51233f0c269c725,26
MFU-52345-184_S320,MFU,c9c48b5f462ccce8114d54f0d51233f0c269c725,84
MFU-52345-210_S346,MFU,c9c48b5f462ccce8114d54f0d51233f0c269c725,29
MFU-52345-171_S307,MFU,644c0a80e5895c072800a2507f11af715cc08723,6
MFU-52345-210_S346,MFU,8f89bb9811e72b6ad125f57a8177054181c741bc,5
MFU-52345-201_S337,MFU,8f89bb9811e72b6ad125f57a8177054181c741bc,10
MFU-52345-185_S321,MFU,8f89bb9811e72b6ad125f57a8177054181c741bc,3
MFU-52345-177_S313,MFU,ea76eb1f143042fffd26e512218935afd82bcaf1,3
MFU-52345-181_S317,MFU,66833158299f5e3b12a9b132711151a274039773,29
MFU-52345-208_S344,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,3
MFU-52345-212_S348,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,28
MFU-52345-174_S310,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,15
MFU-52345-206_S342,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,15
MFU-52345-210_S346,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,3
MFU-52345-189_S325,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,3
MFU-52345-193_S329,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,4
MFU-52345-198_S334,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,11
MFU-52345-185_S321,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,29
MFU-52345-206_S342,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,11
MFU-52345-207_S343,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,9
MFU-52345-185_S321,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,137
MFU-52345-192_S328,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,3
MFU-52345-218_S354,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,7
MFU-52345-198_S334,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,22
MFU-52345-200_S336,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,2
MFU-52345-173_S309,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,6
MFU-52345-195_S331,MFU,c9b2ac58b69c44e7de8a3fddf1bec5f4d5c5500e,2
MFU-52345-199_S335,MFU,5a1a504ff93b51f11351cd193c026c7298853049,11
MFU-PGTF-NOBSA-3_S381,MFU,da2a47c1c028818ec4474ee23c93072a99eb00ed,3
MFU-52345-194_S330,MFU,250347f7fc04b5a3a07926ac21c66dbcfb03fb36,55
MFU-52345-173_S309,MFU,f8a744df5aef6ddc766d8388c4b75a5690df13d1,25
MFU-52345-171_S307,MFU,8e0dfa5963c3bed5a2f9e3832f9faefe7eac7b2e,110
MFU-52345-199_S335,MFU,5c22cad2a6062dceb68168e9ed3f4e5728a2b115,6
MFU-52345-189_S325,MFU,5c22cad2a6062dceb68168e9ed3f4e5728a2b115,5
MFU-52345-218_S354,MFU,5c22cad2a6062dceb68168e9ed3f4e5728a2b115,28
MFU-52345-181_S317,MFU,5c22cad2a6062dceb68168e9ed3f4e5728a2b115,5
MFU-52345-198_S334,MFU,5c22cad2a6062dceb68168e9ed3f4e5728a2b115,21
MFU-IPSF-BSA-3_S375,MFU,d6865700f4f8264b1454ad5311e6e3bbb11cc811,3
MFU-52345-190_S326,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,10
MFU-52345-218_S354,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,30
MFU-52345-208_S344,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,14
MFU-52345-174_S310,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,34
MFU-52345-207_S343,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,20
MFU-52345-186_S322,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,98
MFU-52345-209_S345,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,40
MFU-52345-198_S334,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,27
MFU-52345-212_S348,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,348
MFU-52345-179_S315,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,72
MFU-52345-189_S325,MFU,6bb384c19bd56f45ed1d9fdc0f9fbbf9b157ddb4,40
MFU-52345-185_S321,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,1072
MFU-52345-198_S334,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,94
MFU-52345-206_S342,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,8
MFU-52345-210_S346,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,14
MFU-52345-218_S354,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,19
MFU-52345-219_S355,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,167
MFU-52345-211_S347,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,43
MFU-52345-199_S335,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,11
MFU-52345-208_S344,MFU,8e4830787ea0cd106c5235c7b24548f55bfa3bdd,39
MFU-IPSF-BSA-1_S373,MFU,ec97a5b352cbcdc002553bc54cd38aec39933fc3,2
MFU-52345-207_S343,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,14
MFU-52345-209_S345,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,3
MFU-52345-185_S321,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,252
MFU-52345-208_S344,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,13
MFU-52345-218_S354,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,13
MFU-52345-198_S334,MFU,b64eadd92bf744b96b872f1cb8806546e71d7808,5
MFU-52345-185_S321,MFU,8656ee26c5819116f29d45362790961ef043bd93,457
MFU-IPSF-BSA-1_S373,MFU,dc439c2d9b8b5b9ffddce1378a0495317acbc365,2
MFU-IPSF-TD-1_S361,MFU,aa6ce908117326de02645020a33f408658c76d60,8853
MFU-PGTF-NOBSA-1_S379,MFU,aa6ce908117326de02645020a33f408658c76d60,7929
MFU-IPSF-TD-2_S362,MFU,aa6ce908117326de02645020a33f408658c76d60,7799
