Sample_name,Label,Hash,nReads
MFU-52193-1291-d1-1_S40,MFU,6b62915cfb15c90cae56f9c237cfea934093228a,677
MFU-52193-1800-d1-1_S35,MFU,abd94f0c731c5b018fe7ae056d36593f05c0fc69,8
MFU-52193-799-d1-1_S38,MFU,3979e1921d94cf0a79755f2b7c4ed954005de170,55
MFU-52193-866-d1-1_S57,MFU,dcda5109caac9cba0ebc5d96b718dc10a654bec1,2
MFU-52193-267-d1-1_S85,MFU,a184878b4929d7425e9f6fa31fe05a0eebfb2a75,33
MFU-52193-1696-d1-1_S6,MFU,d0df09a9d820bd4330a173f39b05706a008d8119,3
MFU-52193-527-d1-1_S43,MFU,7f700311b28a179d57684c95251e23f5fceb1085,27
MFU-52193-502-d1-1_S1,MFU,9a68a7982bc78da43a03ffb0fdfe45b7683abe1f,5
MFU-52193-1826-d1-1_S45,MFU,3f419aa26998dca872108998907b583fbe34408c,51
MFU-52193-1743-d1-1_S19,MFU,3f419aa26998dca872108998907b583fbe34408c,148
MFU-52193-34-d1-1_S58,MFU,59fbfbe0d07a6bbcc53b85d815980b6f84f55ab7,171
MFU-52193-1229-d1-1_S12,MFU,7146b44fcea9974e1fbc8f529faed7e6fd5e0312,1433
MFU-52193-453-d10-1_S90,MFU,96cc6f2efe63aaf1d47e8bac4666d28b0560866e,77
MFU-52193-872-d1-1_S66,MFU,1a3089a1f849b09d834cf58af8cc3159762c4651,379
MFU-52193-1229-d1-1_S12,MFU,8c58da26f3a1729f82c7e07866f7ca4e10872464,56
MFU-52193-1322-d5-1_S76,MFU,d7465bb97050cf8e77e80e2da5db6dbabe728ecf,3229
MFU-52193-706-d5-1_S82,MFU,d7465bb97050cf8e77e80e2da5db6dbabe728ecf,4
MFU-52193-320-d10-1_S102,MFU,e5e629d37ed85d24e46f26e33e3f448a869e7c20,194
MFU-52193-225-d10-1_S99,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,1759
