Sample_name,Label,Hash,nReads
MFU-52193-1157-d1-1_S78,MFU,0dd33962e6f1c8ac0ed0ff84552375f944947df6,14
MFU-52193-617-d1-1_S72,MFU,40086d6c582fa5a381d825cab509b3f241718d42,8
MFU-52193-1449-d1-1_S71,MFU,3490b373e082512d87b2b1b81d0fd216e234d9bf,10
MFU-52193-1231-d1-1_S82,MFU,409c52aca6eb6bb8aaf2e4c2b2bb540c8bb8f021,19
MFU-52193-529-d1-1_S85,MFU,5e842634afe08930b3c71020c068d393b644989a,49
MFU-52193-1385-d1-1_S74,MFU,9102a37bfce349b779c63957c18aa09a8c1f7819,743
MFU-52193-991-d1-1_S8,MFU,3383331a592db574188ce1861fd70cd76126e353,158
MFU-52193-1385-d1-1_S74,MFU,3f419aa26998dca872108998907b583fbe34408c,221
MFU-52193-1385-d1-1_S74,MFU,b3e9bfb2ae408fb2aa0da3d3e13a9db4ba1beda7,24
MFU-52193-645-d1-1_S67,MFU,7146b44fcea9974e1fbc8f529faed7e6fd5e0312,211
MFU-52193-700-d1-1_S50,MFU,7146b44fcea9974e1fbc8f529faed7e6fd5e0312,10
MFU-52193-1869-d1-1_S69,MFU,4176693dd6da9da2a195e17f472395a9c9a5e410,950
MFU-52193-72-d1-1_S24,MFU,42cca877e8d5a161bcc4baff1d2cf533e2be62d3,2264
MFU-52193-1281-d1-1_S45,MFU,7a41048bc03817a6158de6b1439ef95f1fbd396f,1826
MFU-52193-700-d1-1_S50,MFU,9d81c2f16366321580b61c8ebfa59c01408cc800,247
MFU-52193-1861-d1-1_S15,MFU,32ff7385f92af6144595a48f75817fc1ca91f41e,492
MFU-52193-700-d1-1_S50,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,14797
MFU-52193-1115-d1-1_S84,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,2503
MFU-52193-1024-d1-1_S36,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,129
MFU-52193-991-d1-1_S8,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,1692
MFU-52193-1044-d1-1_S77,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,2726
MFU-52193-1385-d1-1_S74,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,10876
MFU-52193-1314-d5-1_S4,MFU,44c27c5237d762fe66c694cedaba167b3d605c0f,120640
MFU-52193-910-d5-1_S51,MFU,44c27c5237d762fe66c694cedaba167b3d605c0f,2
MFU-52193-1735-d5-1_S47,MFU,44c27c5237d762fe66c694cedaba167b3d605c0f,1609
MFU-52193-789-d1-1_S5,MFU,44c27c5237d762fe66c694cedaba167b3d605c0f,32122
MFU-52193-1811-d1-1_S54,MFU,44c27c5237d762fe66c694cedaba167b3d605c0f,20271
MFU-52193-124-d1-1_S55,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,1853
MFU-52193-506-d1-1_S49,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,30
MFU-52193-1555-d1-1_S42,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,9
MFU-52193-1474-d1-1_S80,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,611
MFU-52193-1024-d1-1_S36,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,273
MFU-52193-847-d1-1_S37,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,178
MFU-52193-700-d1-1_S50,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,4930
MFU-52193-1279-d5-1_S62,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,1326
MFU-52193-1591-d1-1_S88,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,1533
MFU-52193-1811-d1-1_S54,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,10618
MFU-52193-789-d1-1_S5,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,12246
MFU-52193-997-d1-1_S20,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,1662
MFU-52193-1700-d1-1_S7,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,9759
MFU-52193-1281-d1-1_S45,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,2124
MFU-52193-372-d1-1_S76,MFU,4e425a62a06a4bc75fd852e02437a475ccb755b0,1967
MFU-52193-124-d1-1_S55,MFU,b28f8a1837ff8c5c4b0914ebb2c3ed78377cfe1b,566
MFU-52193-1811-d1-1_S54,MFU,7dd758d91c2c26c05af93842b10fe1107553eeba,1395
MFU-52193-1093-d1-1_S48,MFU,3e6baf48e5e670846ec1616a52fa084d87a125a7,1272
MFU-52193-1871-d1-1_S18,MFU,f458df1d1862d556d83b1a0bde628526024caa45,439
MFU-52193-435-d1-1_S31,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,17208
MFU-52193-202-d1-1_S66,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,646
MFU-52193-1048-d1-1_S38,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,868
MFU-52193-338-d1-1_S64,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,2560
MFU-52193-1299-d5-1_S60,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,5109
MFU-52193-1591-d1-1_S88,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1428
MFU-52193-789-d1-1_S5,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,104930
MFU-52193-878-d1-1_S39,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,5589
MFU-52193-1811-d1-1_S54,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,4208
MFU-52193-1501-d1-1_S13,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,2616
MFU-52193-352-d1-1_S26,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,57341
MFU-52193-847-d1-1_S37,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,283
MFU-52193-979-d1-1_S3,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,31934
MFU-52193-72-d1-1_S24,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,2201
MFU-52193-1091-d1-1_S44,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,5621
MFU-52193-1231-d1-1_S82,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1040
MFU-52193-1024-d1-1_S36,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1185
MFU-52193-977-d1-1_S53,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,21961
MFU-52193-823-d1-1_S9,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,5019
MFU-52193-529-d1-1_S85,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1797
MFU-52193-1243-d1-1_S10,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,5047
MFU-52193-182-d1-1_S22,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1002
MFU-52193-1275-d5-1_S16,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1299
MFU-52193-1044-d1-1_S77,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,6631
MFU-52193-617-d1-1_S72,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,479
MFU-52193-156-d1-1_S56,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,6076
MFU-52193-170-d1-1_S33,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1085
MFU-52193-124-d1-1_S55,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,588
MFU-52193-1385-d1-1_S74,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,1861
MFU-52193-991-d1-1_S8,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,3648
MFU-52193-423-d1-1_S35,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,10013
MFU-52193-1871-d1-1_S18,MFU,aabaacb514c28f7a8f1ea297cb676935daba8092,15426
