Sample_name,Label,Hash,nReads
MFU-52348-1446-d1-3_S62,MFU,340c5e630471147fb2b7353e3297de60475bf3b2,2
MFU-52348-1446-d1-1_S50,MFU,340c5e630471147fb2b7353e3297de60475bf3b2,3
MFU-52348-1447-d1-1_S51,MFU,340c5e630471147fb2b7353e3297de60475bf3b2,3
MFU-mock-even-d1-2_S65,MFU,d3958c2683bfcc60fdfbf2b7c0626c0a888cd71e,2
MFU-mock-even-d1-2_S65,MFU,e128714cb6532caf696951c8bfafc486bb4fc65f,6
MFU-mock-even-d1-1_S64,MFU,8c809f31ba47cb763af8f107c98dbc223a74b669,4
MFU-mock-skewed-d1-2_S68,MFU,da2a47c1c028818ec4474ee23c93072a99eb00ed,8
MFU-mock-skewed-d1-1_S67,MFU,da2a47c1c028818ec4474ee23c93072a99eb00ed,4
MFU-mock-skewed-d1-3_S69,MFU,da2a47c1c028818ec4474ee23c93072a99eb00ed,9
MFU-mock-skewed-d1-2_S68,MFU,ab168a2b095aa3061b45e83fc8b9720609df0257,6
MFU-52472-007-d10-1_S75,MFU,ac877ce0b7c31d4700275e34f32213b021200d5a,183
MFU-mock-skewed-d1-2_S68,MFU,0a8cb459182cba241ed2100d93a04743514bcb7d,5
MFU-mock-skewed-d1-2_S68,MFU,77bb790e3f4c38d4730988f52ef69b6f8cae198e,7
MFU-mock-even-d1-1_S64,MFU,63473f90db74e7f04895e6f63eeb65e33811e82f,14
MFU-mock-even-d1-3_S66,MFU,63473f90db74e7f04895e6f63eeb65e33811e82f,8
MFU-mock-skewed-d1-3_S69,MFU,63473f90db74e7f04895e6f63eeb65e33811e82f,8
MFU-mock-skewed-d1-1_S67,MFU,d6865700f4f8264b1454ad5311e6e3bbb11cc811,4
MFU-mock-skewed-d1-2_S68,MFU,d6865700f4f8264b1454ad5311e6e3bbb11cc811,13
MFU-52348-1447-d1-1_S51,MFU,280360276932082814be1be133e24bacebc3dc74,107
MFU-mock-even-d1-2_S65,MFU,e7413ca3ccdd3646568659590d178978853f8e6b,6
MFU-mock-even-d1-3_S66,MFU,e7413ca3ccdd3646568659590d178978853f8e6b,2
MFU-mock-skewed-d1-3_S69,MFU,aa6ce908117326de02645020a33f408658c76d60,2797
MFU-mock-skewed-d1-2_S68,MFU,aa6ce908117326de02645020a33f408658c76d60,4187
MFU-mock-even-d1-3_S66,MFU,aa6ce908117326de02645020a33f408658c76d60,13283
MFU-mock-skewed-d1-1_S67,MFU,aa6ce908117326de02645020a33f408658c76d60,1175
MFU-mock-even-d1-1_S64,MFU,aa6ce908117326de02645020a33f408658c76d60,20653
MFU-mock-even-d1-2_S65,MFU,aa6ce908117326de02645020a33f408658c76d60,18628
MFU-52348-1446-d1-1_S50,MFU,c32b2f8c42f1e3ab150f99ac748abf8f34168be6,141
MFU-52348-1446-d1-3_S62,MFU,02f2f95c968549e454f01dfcce31e1f8fbb06765,90
MFU-52348-1446-d1-3_S62,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,299
MFU-52348-1446-d1-2_S56,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,133
MFU-52348-1445-d1-3_S61,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,88
MFU-52348-1445-d1-2_S55,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,108
MFU-52348-1446-d1-1_S50,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,166
MFU-52348-1446-d1-1_S50,MFU,9e1b9d326f9a6b9611b24b322c3b0dc76cde5b8b,128
MFU-52348-1445-d1-3_S61,MFU,9e1b9d326f9a6b9611b24b322c3b0dc76cde5b8b,152
MFU-52348-1445-d1-1_S49,MFU,9e1b9d326f9a6b9611b24b322c3b0dc76cde5b8b,121
MFU-52348-1445-d1-2_S55,MFU,9e1b9d326f9a6b9611b24b322c3b0dc76cde5b8b,146
MFU-52348-1448-d1-1_S52,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,591
MFU-52348-1450-d1-1_S54,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,256
MFU-52348-1449-d1-1_S53,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,311
MFU-52348-1447-d1-2_S57,MFU,7074a65b9a8a21b9d12136610c2fd2133e0e2cb0,128
MFU-52348-1445-d1-3_S61,MFU,4425b86c0477291635ac2d983dba507db1d4ad83,60
MFU-52348-1447-d1-3_S63,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,2296
MFU-52348-1446-d1-3_S62,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,908
MFU-52348-1445-d1-1_S49,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,466
