BestTaxon,mock,even_skew,prop_type,Prop
Merluccius productus,mock2,even,gDNA,0.064565199
Engraulis mordax,mock2,even,gDNA,0.064565199
Sardinops sagax,mock2,even,gDNA,0.064565199
Scomber japonicus,mock2,even,gDNA,0.064565199
Thunnus alalunga,mock2,even,gDNA,0.064565199
Trachurus symmetricus,mock2,even,gDNA,0.064565199
Thaleichthys pacificus,mock2,even,gDNA,0.064565199
Microstomus pacificus,mock2,even,gDNA,0.064565199
Clupea pallasii,mock2,even,gDNA,0.064565199
Oncorhynchus nerka,mock2,even,gDNA,0.064565199
Oncorhynchus tshawytscha,mock2,even,gDNA,0.031522021
Tarletonbeania crenularis,mock2,even,gDNA,0.064565199
Tactostoma macropus,mock2,even,gDNA,0.064565199
Cottus spp.,mock2,even,gDNA,0.064565199
Oncorhynchus keta,mock2,even,gDNA,0.064565199
Citharichthys sordidus,mock2,even,gDNA,0.064565199
Merluccius productus,mock2,even,mtDNA,0.07349064
Engraulis mordax,mock2,even,mtDNA,0.091918803
Sardinops sagax,mock2,even,mtDNA,0.086099516
Scomber japonicus,mock2,even,mtDNA,0.074935749
Thunnus alalunga,mock2,even,mtDNA,0.005395385
Trachurus symmetricus,mock2,even,mtDNA,0.035241342
Thaleichthys pacificus,mock2,even,mtDNA,0.060516676
Microstomus pacificus,mock2,even,mtDNA,0.035196298
Clupea pallasii,mock2,even,mtDNA,0.025655966
Oncorhynchus nerka,mock2,even,mtDNA,0.119588444
Oncorhynchus tshawytscha,mock2,even,mtDNA,0.010194456
Tarletonbeania crenularis,mock2,even,mtDNA,0.050719177
Tactostoma macropus,mock2,even,mtDNA,0.079710421
Cottus spp.,mock2,even,mtDNA,0.054190131
Oncorhynchus keta,mock2,even,mtDNA,0.100073178
Citharichthys sordidus,mock2,even,mtDNA,0.097073817
Anoplopoma fimbria,mock3,even,gDNA,0.071428571
Sebastes entomelas,mock3,even,gDNA,0.071428571
Ophiodon elongatus,mock3,even,gDNA,0.071428571
Oncorhynchus tshawytscha,mock3,even,gDNA,0.071428571
Oncorhynchus kisutch,mock3,even,gDNA,0.071428571
Alosa sapidissima,mock3,even,gDNA,0.071428571
Oncorhynchus mykiss,mock3,even,gDNA,0.071428571
Sardinops sagax,mock3,even,gDNA,0.071428571
Merluccius productus,mock3,even,gDNA,0.071428571
Engraulis mordax,mock3,even,gDNA,0.071428571
Trachurus symmetricus,mock3,even,gDNA,0.071428571
Citharichthys stigmaeus,mock3,even,gDNA,0.071428571
Scomber japonicus,mock3,even,gDNA,0.071428571
Stenobrachius leucopsarus,mock3,even,gDNA,0.071428571
Anoplopoma fimbria,mock3,even,mtDNA,0.00678035
Sebastes entomelas,mock3,even,mtDNA,0.048027868
Ophiodon elongatus,mock3,even,mtDNA,0.044013421
Oncorhynchus tshawytscha,mock3,even,mtDNA,0.006217437
Oncorhynchus kisutch,mock3,even,mtDNA,0.073259435
