sample,Date.UTC,CTD.cast,Niskin,depth,CTD
48,7/4/19,25-2,5,50,25
32,7/3/19,25-4,1,495,25
34,7/3/19,25-4,3,300,25
36,7/3/19,25-4,5,150,25
40,7/3/19,25-4,9,50,25
21,7/3/19,25-6,1,500,25
25,7/3/19,25-6,6,150,25
72,7/4/19,26-3,1,500,26
74,7/4/19,26-3,3,300,26
76,7/4/19,26-3,5,150,26
124,7/5/19,27-2,5,50,27
108,7/5/19,27-4,1,500,27
110,7/5/19,27-4,3,300,27
112,7/5/19,27-4,5,150,27
116,7/5/19,27-4,9,50,27
118,7/5/19,27-4,sfc,sfc,27
103,7/5/19,27-6,9,50,27
84,7/5/19,27-8,1,500,27
86,7/5/19,27-8,3,300,27
88,7/5/19,27-8,5,150,27
93,7/5/19,27-8,10,50,27
140,7/6/19,29-1,5,sfc,29
148,7/6/19,29-2,5,50,29
150,7/6/19,29-2,sfc,sfc,29
152,7/6/19,29-4,1,475,29
154,7/6/19,29-4,3,280,29
156,7/6/19,29-4,5,150,29
168,7/6/19,29-6,3,300,29
170,7/6/19,29-6,5,150,29
175,7/6/19,29-6,10,50,29
176,7/6/19,29-6,sfc,sfc,29
225,7/7/19,31-1,sfc,sfc,31
219,7/7/19,31-2,5,50,31
202,7/7/19,31-4,1,494,31
204,7/7/19,31-4,3,300,31
206,7/7/19,31-4,5,150,31
210,7/7/19,31-4,9,50,31
213,7/7/19,31-4,sfc,sfc,31
190,7/7/19,31-7,1,500,31
192,7/7/19,31-7,3,300,31
194,7/7/19,31-7,5,150,31
199,7/7/19,31-7,10,50,31
200,7/7/19,31-7,sfc,sfc,31
178,7/7/19,31-9,1,500,31
180,7/7/19,31-9,3,300,31
182,7/7/19,31-9,5,150,31
267,7/8/19,33-2,5,50,33
269,7/8/19,33-2,sfc,sfc,33
251,7/8/19,33-4,1,467,33
253,7/8/19,33-4,3,300,33
255,7/8/19,33-4,5,150,33
247,7/8/19,33-5,9,50,33
248,7/8/19,33-5,10,50,33
227,7/8/19,33-9,1,500,33
229,7/8/19,33-9,3,300,33
231,7/8/19,33-9,5,150,33
235,7/8/19,33-9,9,50,33
238,7/8/19,33-9,sfc,sfc,33
334,7/9/19,35-11,1,500,35-
336,7/9/19,35-11,3,300,35-
338,7/9/19,35-11,5,150,35-
342,7/9/19,35-11,9,50,35-
294,7/9/19,35-3,7,50,35
298,7/9/19,35-5,1,500,35
300,7/9/19,35-5,3,300,35
302,7/9/19,35-5,5,150,35
319,7/9/19,35-7,10,50,35
330,7/9/19,35-9,9,50,35
400,7/10/19,37-2,5,50,37
403,7/10/19,37-2,sfc,sfc,37
392,7/10/19,37-4,9,50,37
394,7/10/19,37-4,sfc,sfc,37
372,7/10/19,37-5,1,500,37
374,7/10/19,37-5,3,300,37
376,7/10/19,37-5,5,150,37
380,7/10/19,37-5,9,50,37
360,7/10/19,37-7,1,500,37
362,7/10/19,37-7,3,300,37
364,7/10/19,37-7,5,150,37
369,7/10/19,37-7,10,50,37
348,7/10/19,37-9,1,500,37
350,7/10/19,37-9,3,300,37
352,7/10/19,37-9,5,150,37
356,7/10/19,37-9,9,50,37
418,7/11/19,38-1,sfc,sfc,38
419,7/11/19,38-2,1,500,38
421,7/11/19,38-2,3,300,38
423,7/11/19,38-2,5,150,38
427,7/11/19,38-2,9,50,38
431,7/11/19,38-3,1,500,38
433,7/11/19,38-3,3,300,38
435,7/11/19,38-3,5,150,38
439,7/11/19,38-3,9,50,38
443,7/11/19,38-4,1,500,38
445,7/11/19,38-4,3,300,38
447,7/11/19,38-4,5,150,38
451,7/11/19,38-4,9,50,38
460,7/12/19,39-1,5,sfc,39
486,7/12/19,39-5,9,50,39
488,7/12/19,39-5,sfc,sfc,39
498,7/12/19,39-7,9,50,39
502,7/12/19,39-9,1,500,39
504,7/12/19,39-9,3,300,39
513,7/12/19,39-9,sfc,sfc,39
541,7/13/19,42-2,3,300,42
527,7/13/19,42-3,1,500,42
529,7/13/19,42-3,3,300,42
531,7/13/19,42-3,5,150,42
537,7/13/19,42-3,sfc,sfc,42
515,7/13/19,42-4,1,500,42
517,7/13/19,42-4,3,300,42
519,7/13/19,42-4,5,150,42
523,7/13/19,42-4,9,50,42
525,7/13/19,42-4,sfc,sfc,42
610,7/14/19,43-2,5,50,43
604,7/14/19,43-4,sfc,sfc,43
590,7/14/19,43-5,9,50,43
592,7/14/19,43-5,sfc,sfc,43
570,7/14/19,43-6,1,500,43
572,7/14/19,43-6,3,300,43
574,7/14/19,43-6,5,150,43
578,7/14/19,43-6,9,50,43
558,7/14/19,43-8,1,500,43
560,7/14/19,43-8,3,300,43
562,7/14/19,43-8,5,150,43
566,7/14/19,43-8,9,50,43
568,7/14/19,43-8,sfc,sfc,43
665,7/21/19,47-2,3,50,47
667,7/21/19,47-2,sfc,sfc,47
659,7/21/19,47-3,7,50,47
641,7/21/19,47-5,1,500,47
643,7/21/19,47-5,3,300,47
645,7/21/19,47-5,5,150,47
639,7/21/19,47-7,sfc,sfc,47
617,7/21/19,47-9,1,500,47
619,7/21/19,47-9,3,300,47
621,7/21/19,47-9,5,150,47
625,7/21/19,47-9,9,50,47
627,7/21/19,47-9,sfc,sfc,47
682,7/22/19,49-2,sfc,sfc,49
692,7/22/19,49-4,9,50,49
696,7/22/19,49-5,1,500,49
700,7/22/19,49-5,5,150,49
706,7/22/19,49-5,sfc,sfc,49
720,7/22/19,49-9,sfc,sfc,49
774,7/23/19,51-2,5,50,51
776,7/23/19,51-2,sfc,sfc,51
766,7/23/19,51-3,7,50,51
768,7/23/19,51-3,sfc,sfc,51
