"","Primer","Project","tubeID","Dilution","Rep","BestTaxon","nReads","station","lat","lon","depth","depth_cat","wash_idx"
"1","MFU","52193","1000","d5","1","Agonopsis vulsa",0,"60-2",44.23054833,-124.5392983,0,0,0
"2","MFU","52193","1000","d5","1","Allosmerus elongatus",135,"60-2",44.23054833,-124.5392983,0,0,0
"3","MFU","52193","1000","d5","1","Alosa",50,"60-2",44.23054833,-124.5392983,0,0,0
"4","MFU","52193","1000","d5","1","Alosa alabamae",0,"60-2",44.23054833,-124.5392983,0,0,0
"5","MFU","52193","1000","d5","1","Ammodytidae",0,"60-2",44.23054833,-124.5392983,0,0,0
"6","MFU","52193","1000","d5","1","Anarrhichthys ocellatus",0,"60-2",44.23054833,-124.5392983,0,0,0
"7","MFU","52193","1000","d5","1","Anoplarchus",0,"60-2",44.23054833,-124.5392983,0,0,0
"8","MFU","52193","1000","d5","1","Anoplopoma fimbria",0,"60-2",44.23054833,-124.5392983,0,0,0
"9","MFU","52193","1000","d5","1","Apristurus brunneus",0,"60-2",44.23054833,-124.5392983,0,0,0
"10","MFU","52193","1000","d5","1","Arctozenus risso",0,"60-2",44.23054833,-124.5392983,0,0,0
"11","MFU","52193","1000","d5","1","Ariosoma balearicum",0,"60-2",44.23054833,-124.5392983,0,0,0
"12","MFU","52193","1000","d5","1","Artedius",0,"60-2",44.23054833,-124.5392983,0,0,0
"13","MFU","52193","1000","d5","1","Artedius corallinus",0,"60-2",44.23054833,-124.5392983,0,0,0
"14","MFU","52193","1000","d5","1","Artedius fenestralis",0,"60-2",44.23054833,-124.5392983,0,0,0
"15","MFU","52193","1000","d5","1","Artedius harringtoni",0,"60-2",44.23054833,-124.5392983,0,0,0
"16","MFU","52193","1000","d5","1","Artedius lateralis",0,"60-2",44.23054833,-124.5392983,0,0,0
"17","MFU","52193","1000","d5","1","Artiodactyla",0,"60-2",44.23054833,-124.5392983,0,0,0
"18","MFU","52193","1000","d5","1","Ascelichthys rhodorus",0,"60-2",44.23054833,-124.5392983,0,0,0
"19","MFU","52193","1000","d5","1","Astronesthes",0,"60-2",44.23054833,-124.5392983,0,0,0
"20","MFU","52193","1000","d5","1","Atherinopsis californiensis",0,"60-2",44.23054833,-124.5392983,0,0,0
"21","MFU","52193","1000","d5","1","Balaena",0,"60-2",44.23054833,-124.5392983,0,0,0
"22","MFU","52193","1000","d5","1","Balaena mysticetus",0,"60-2",44.23054833,-124.5392983,0,0,0
"23","MFU","52193","1000","d5","1","Balaenoptera",0,"60-2",44.23054833,-124.5392983,0,0,0
"24","MFU","52193","1000","d5","1","Balaenoptera acutorostrata",0,"60-2",44.23054833,-124.5392983,0,0,0
"25","MFU","52193","1000","d5","1","Balaenoptera musculus",0,"60-2",44.23054833,-124.5392983,0,0,0
"26","MFU","52193","1000","d5","1","Balaenoptera physalus",0,"60-2",44.23054833,-124.5392983,0,0,0
"27","MFU","52193","1000","d5","1","Bathyagonus pentacanthus",0,"60-2",44.23054833,-124.5392983,0,0,0
"28","MFU","52193","1000","d5","1","Bathylagidae",0,"60-2",44.23054833,-124.5392983,0,0,0
"29","MFU","52193","1000","d5","1","Bathylagoides wesethi",0,"60-2",44.23054833,-124.5392983,0,0,0
"30","MFU","52193","1000","d5","1","Bathyraja spinicauda",0,"60-2",44.23054833,-124.5392983,0,0,0
"31","MFU","52193","1000","d5","1","Benthalbella dentata",0,"60-2",44.23054833,-124.5392983,0,0,0
"32","MFU","52193","1000","d5","1","Berardius bairdii",0,"60-2",44.23054833,-124.5392983,0,0,0
"33","MFU","52193","1000","d5","1","Beringraja",0,"60-2",44.23054833,-124.5392983,0,0,0
"34","MFU","52193","1000","d5","1","Beringraja binoculata",0,"60-2",44.23054833,-124.5392983,0,0,0
"35","MFU","52193","1000","d5","1","Beringraja inornata",0,"60-2",44.23054833,-124.5392983,0,0,0
"36","MFU","52193","1000","d5","1","Bos taurus",0,"60-2",44.23054833,-124.5392983,0,0,0
"37","MFU","52193","1000","d5","1","Canis",0,"60-2",44.23054833,-124.5392983,0,0,0
"38","MFU","52193","1000","d5","1","Canis lupus",0,"60-2",44.23054833,-124.5392983,0,0,0
"39","MFU","52193","1000","d5","1","Careproctus melanurus",0,"60-2",44.23054833,-124.5392983,0,0,0
"40","MFU","52193","1000","d5","1","Cataetyx rubrirostris",0,"60-2",44.23054833,-124.5392983,0,0,0
"41","MFU","52193","1000","d5","1","Ceramaster",0,"60-2",44.23054833,-124.5392983,0,0,0
"42","MFU","52193","1000","d5","1","Ceratoscopelus",0,"60-2",44.23054833,-124.5392983,0,0,0
"43","MFU","52193","1000","d5","1","Chauliodus macouni",0,"60-2",44.23054833,-124.5392983,0,0,0
"44","MFU","52193","1000","d5","1","Chilara taylori",0,"60-2",44.23054833,-124.5392983,0,0,0
"45","MFU","52193","1000","d5","1","Citharichthys",0,"60-2",44.23054833,-124.5392983,0,0,0
