"Primer","Project","tubeID","Dilution","Rep","Species","nReads","station","lat","lon","depth","depth_cat"
"MFU","52193","1000","d5","1","Clupea pallasii",56,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Engraulis mordax",920,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Leuroglossus stilbius",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Merluccius productus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Merluccius productus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Microstomus pacificus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sardinops sagax",121,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Scomber japonicus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Sebastes entomelas",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Stenobrachius leucopsarus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Stenobrachius leucopsarus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Tactostoma macropus",12,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Tarletonbeania crenularis",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Tarletonbeania crenularis",99204,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Thaleichthys pacificus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Trachurus symmetricus",0,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1000","d5","1","Trachurus symmetricus",219,"60-2",44.23054833,-124.5392983,0,0
"MFU","52193","1007","d1","1","Clupea pallasii",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Engraulis mordax",8903,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Leuroglossus stilbius",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Merluccius productus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Merluccius productus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Microstomus pacificus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Sardinops sagax",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Scomber japonicus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Sebastes entomelas",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Stenobrachius leucopsarus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Stenobrachius leucopsarus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Tactostoma macropus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Tarletonbeania crenularis",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Tarletonbeania crenularis",11783,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Thaleichthys pacificus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Trachurus symmetricus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1007","d1","1","Trachurus symmetricus",0,"60-1",44.23212833,-124.247595,0,0
"MFU","52193","1014","d1","1","Clupea pallasii",16331,"61-2",44.39556,-124.7442183,50,50
"MFU","52193","1014","d1","1","Engraulis mordax",2807,"61-2",44.39556,-124.7442183,50,50
"MFU","52193","1014","d1","1","Leuroglossus stilbius",0,"61-2",44.39556,-124.7442183,50,50
"MFU","52193","1014","d1","1","Merluccius productus",17961,"61-2",44.39556,-124.7442183,50,50
"MFU","52193","1014","d1","1","Merluccius productus",142878,"61-2",44.39556,-124.7442183,50,50
