"","Sample","Rep","Species","Reads","Prop","Gene","Primer","Taq","BSA","TD"
"1","MFU.IPSF.1",1,"Carcharodon carcharias",4,3.33e-05,"12S","MFU","IPSF",0,0
"2","MFU.IPSF.2",2,"Carcharodon carcharias",2,1.7e-05,"12S","MFU","IPSF",0,0
"3","MFU.IPSF.3",3,"Carcharodon carcharias",4,3.45e-05,"12S","MFU","IPSF",0,0
"4","MFU.IPSF.1",1,"Ceratoscopelus townsendi",5,4.17e-05,"12S","MFU","IPSF",0,0
"5","MFU.IPSF.2",2,"Ceratoscopelus townsendi",10,8.49e-05,"12S","MFU","IPSF",0,0
"6","MFU.IPSF.3",3,"Ceratoscopelus townsendi",11,9.48e-05,"12S","MFU","IPSF",0,0
"7","MFU.IPSF.1",1,"Clupea pallasii",35959,0.299695795,"12S","MFU","IPSF",0,0
"8","MFU.IPSF.2",2,"Clupea pallasii",40848,0.34671601,"12S","MFU","IPSF",0,0
"9","MFU.IPSF.3",3,"Clupea pallasii",39161,0.33744356,"12S","MFU","IPSF",0,0
"10","MFU.IPSF.1",1,"Diogenichthys atlanticus",14149,0.117923074,"12S","MFU","IPSF",0,0
"11","MFU.IPSF.2",2,"Diogenichthys atlanticus",13867,0.11770248,"12S","MFU","IPSF",0,0
"12","MFU.IPSF.3",3,"Diogenichthys atlanticus",12983,0.111872264,"12S","MFU","IPSF",0,0
"13","MFU.IPSF.1",1,"Zz_Engraulis mordax",15762,0.131366421,"12S","MFU","IPSF",0,0
"14","MFU.IPSF.2",2,"Zz_Engraulis mordax",12740,0.108136554,"12S","MFU","IPSF",0,0
"15","MFU.IPSF.3",3,"Zz_Engraulis mordax",14258,0.122858719,"12S","MFU","IPSF",0,0
"16","MFU.IPSF.1",1,"Hippoglossus stenolepis",6171,0.051431429,"12S","MFU","IPSF",0,0
"17","MFU.IPSF.2",2,"Hippoglossus stenolepis",5087,0.04317823,"12S","MFU","IPSF",0,0
"18","MFU.IPSF.3",3,"Hippoglossus stenolepis",5497,0.047366698,"12S","MFU","IPSF",0,0
"19","MFU.IPSF.1",1,"Leuroglossus stilbius",12512,0.104279702,"12S","MFU","IPSF",0,0
"20","MFU.IPSF.2",2,"Leuroglossus stilbius",12024,0.102059178,"12S","MFU","IPSF",0,0
"21","MFU.IPSF.3",3,"Leuroglossus stilbius",11468,0.098817771,"12S","MFU","IPSF",0,0
"22","MFU.IPSF.1",1,"Merluccius productus",5813,0.048447723,"12S","MFU","IPSF",0,0
"23","MFU.IPSF.2",2,"Merluccius productus",4873,0.041361808,"12S","MFU","IPSF",0,0
"24","MFU.IPSF.3",3,"Merluccius productus",4950,0.042653293,"12S","MFU","IPSF",0,0
"25","MFU.IPSF.1",1,"Oncorhynchus nerka",8692,0.072442389,"12S","MFU","IPSF",0,0
"26","MFU.IPSF.2",2,"Oncorhynchus nerka",8182,0.069448453,"12S","MFU","IPSF",0,0
"27","MFU.IPSF.3",3,"Oncorhynchus nerka",8168,0.070382242,"12S","MFU","IPSF",0,0
"28","MFU.IPSF.1",1,"Oncorhynchus tshawytscha",681,0.005675709,"12S","MFU","IPSF",0,0
"29","MFU.IPSF.2",2,"Oncorhynchus tshawytscha",625,0.005304972,"12S","MFU","IPSF",0,0
"30","MFU.IPSF.3",3,"Oncorhynchus tshawytscha",608,0.005239031,"12S","MFU","IPSF",0,0
"31","MFU.IPSF.1",1,"Sardinops sagax",2930,0.024419719,"12S","MFU","IPSF",0,0
"32","MFU.IPSF.2",2,"Sardinops sagax",2694,0.022866552,"12S","MFU","IPSF",0,0
"33","MFU.IPSF.3",3,"Sardinops sagax",2815,0.024256368,"12S","MFU","IPSF",0,0
"34","MFU.IPSF.1",1,"Thaleichthys pacificus",5948,0.049572863,"12S","MFU","IPSF",0,0
"35","MFU.IPSF.2",2,"Thaleichthys pacificus",5636,0.047838118,"12S","MFU","IPSF",0,0
"36","MFU.IPSF.3",3,"Thaleichthys pacificus",5309,0.045746734,"12S","MFU","IPSF",0,0
"37","MFU.IPSF.1",1,"Trachurus symmetricus",11359,0.094670167,"12S","MFU","IPSF",0,0
"38","MFU.IPSF.2",2,"Trachurus symmetricus",11226,0.095285789,"12S","MFU","IPSF",0,0
"39","MFU.IPSF.3",3,"Trachurus symmetricus",10820,0.093234067,"12S","MFU","IPSF",0,0
