Sample_name,Label,Hash,nReads
MFU-52348-1446-d1-1_S50,MFU,340c5e630471147fb2b7353e3297de60475bf3b2,3
MFU-52348-1447-d1-1_S51,MFU,340c5e630471147fb2b7353e3297de60475bf3b2,3
MFU-52348-1446-d1-3_S62,MFU,340c5e630471147fb2b7353e3297de60475bf3b2,2
MFU-52348-1448-d10-1_S58,MFU,51f59bcc1bc0aed7a5e4e6fd854f6c8c687da0b3,2
MFU-mock-even-d1-2_S65,MFU,d3958c2683bfcc60fdfbf2b7c0626c0a888cd71e,2
MFU-mock-even-d1-2_S65,MFU,e128714cb6532caf696951c8bfafc486bb4fc65f,6
MFU-mock-even-d1-1_S64,MFU,8c809f31ba47cb763af8f107c98dbc223a74b669,4
MFU-mock-skewed-d1-1_S67,MFU,da2a47c1c028818ec4474ee23c93072a99eb00ed,3
MFU-mock-skewed-d1-2_S68,MFU,da2a47c1c028818ec4474ee23c93072a99eb00ed,6
MFU-mock-skewed-d1-3_S69,MFU,da2a47c1c028818ec4474ee23c93072a99eb00ed,9
MFU-mock-skewed-d1-2_S68,MFU,ab168a2b095aa3061b45e83fc8b9720609df0257,7
MFU-52472-007-d10-1_S75,MFU,ac877ce0b7c31d4700275e34f32213b021200d5a,158
MFU-mock-skewed-d1-2_S68,MFU,0a8cb459182cba241ed2100d93a04743514bcb7d,5
MFU-mock-skewed-d1-2_S68,MFU,77bb790e3f4c38d4730988f52ef69b6f8cae198e,7
MFU-mock-even-d1-1_S64,MFU,63473f90db74e7f04895e6f63eeb65e33811e82f,13
MFU-mock-skewed-d1-3_S69,MFU,63473f90db74e7f04895e6f63eeb65e33811e82f,8
MFU-mock-even-d1-3_S66,MFU,63473f90db74e7f04895e6f63eeb65e33811e82f,8
MFU-52348-1447-d1-1_S51,MFU,280360276932082814be1be133e24bacebc3dc74,92
MFU-mock-even-d1-3_S66,MFU,e7413ca3ccdd3646568659590d178978853f8e6b,2
MFU-mock-even-d1-2_S65,MFU,e7413ca3ccdd3646568659590d178978853f8e6b,6
MFU-mock-even-d1-3_S66,MFU,aa6ce908117326de02645020a33f408658c76d60,11023
MFU-mock-even-d1-2_S65,MFU,aa6ce908117326de02645020a33f408658c76d60,15635
MFU-mock-skewed-d1-2_S68,MFU,aa6ce908117326de02645020a33f408658c76d60,3396
MFU-mock-skewed-d1-1_S67,MFU,aa6ce908117326de02645020a33f408658c76d60,940
MFU-mock-even-d1-1_S64,MFU,aa6ce908117326de02645020a33f408658c76d60,16545
MFU-mock-skewed-d1-3_S69,MFU,aa6ce908117326de02645020a33f408658c76d60,2327
MFU-52348-1446-d1-1_S50,MFU,c32b2f8c42f1e3ab150f99ac748abf8f34168be6,124
MFU-52348-1446-d1-3_S62,MFU,02f2f95c968549e454f01dfcce31e1f8fbb06765,87
MFU-52348-1445-d1-2_S55,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,96
MFU-52348-1446-d1-2_S56,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,124
MFU-52348-1446-d1-1_S50,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,151
MFU-52348-1446-d1-3_S62,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,280
MFU-52348-1445-d1-3_S61,MFU,ddb4f59d54c6785cf6c5e1e62e7cfe45af55900f,83
MFU-52348-1445-d1-1_S49,MFU,9e1b9d326f9a6b9611b24b322c3b0dc76cde5b8b,110
MFU-52348-1445-d1-3_S61,MFU,9e1b9d326f9a6b9611b24b322c3b0dc76cde5b8b,137
MFU-52348-1445-d1-2_S55,MFU,9e1b9d326f9a6b9611b24b322c3b0dc76cde5b8b,135
MFU-52348-1450-d1-1_S54,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,225
MFU-52348-1448-d1-1_S52,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,543
MFU-52348-1449-d1-1_S53,MFU,4b8ebe8d0682aa518a1a96d150741e6ded710b73,288
MFU-52348-1447-d1-2_S57,MFU,7074a65b9a8a21b9d12136610c2fd2133e0e2cb0,120
MFU-52348-1445-d1-3_S61,MFU,4425b86c0477291635ac2d983dba507db1d4ad83,55
MFU-52348-1447-d1-3_S63,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,1989
MFU-52348-1446-d1-2_S56,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,1314
MFU-52348-1445-d1-1_S49,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,411
MFU-52348-1445-d1-3_S61,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,807
MFU-52348-1445-d1-2_S55,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,1010
MFU-52348-1447-d1-2_S57,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,1939
MFU-52348-1447-d1-1_S51,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,1265
MFU-52348-1446-d1-1_S50,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,1226
MFU-52348-1446-d1-3_S62,MFU,5d8982317960a2808a7079bed9c48153c37ae8a8,826
MFU-52348-1447-d1-2_S57,MFU,5310b2da9a0e0f9812525a06b2a11515d85a7587,121
MFU-52348-1446-d1-1_S50,MFU,5310b2da9a0e0f9812525a06b2a11515d85a7587,82
MFU-52348-1446-d1-3_S62,MFU,21453a1fcfce7f626e6587560b03c2fc1099d762,216
MFU-52348-1446-d1-3_S62,MFU,15a674fe116b3278bda25964d2139de88f056e62,100
MFU-52348-1447-d1-1_S51,MFU,bfb6efa434b9de49679b9697ce25448488d4dee3,111
MFU-52348-1447-d1-3_S63,MFU,6b72b5778471be56f771fe35bc5a762add2d7c6b,154
MFU-52348-1446-d1-2_S56,MFU,660e89949af7c1aa2ab7ccce42f692b718779d09,133
MFU-mock-even-d1-1_S64,MFU,a0544645d70df6bc1347acef42c8abaed94c8f1f,5
MFU-52348-1445-d1-2_S55,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,376
MFU-52348-1447-d1-2_S57,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,1421
MFU-52348-1446-d1-3_S62,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,1835
MFU-52348-1445-d1-3_S61,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,847
MFU-52348-1447-d1-3_S63,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,1880
MFU-52348-1446-d1-1_S50,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,1331
MFU-52348-1446-d1-2_S56,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,1627
MFU-52348-1447-d1-1_S51,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,1495
MFU-52348-1445-d1-1_S49,MFU,827d5caf615fdf6a715adac8bb9e170b8cfc0234,983
MFU-mock-skewed-d1-1_S67,MFU,84c3d0fad8b0216a0a8df97ed258f25b29f00b3c,2
MFU-52348-1445-d1-3_S61,MFU,bc9dfc17fc696048b7ac75f0297c77b7a6604e3c,67
MFU-52348-1449-d1-1_S53,MFU,a80eea392aee66a317106974e6b2165b1eab5c38,166
MFU-52348-1446-d1-2_S56,MFU,8435fda16724cea8c4b8b1967fe2956ec3fd54a9,100
MFU-52348-1446-d1-2_S56,MFU,ac0237cc9ce8bd3168aa65eaf3513a5db8410634,23
MFU-52348-1445-d1-1_S49,MFU,6f5f854c6ff5e3307ca10c66022d53f0ebf768fe,124
MFU-52348-1445-d1-2_S55,MFU,6f5f854c6ff5e3307ca10c66022d53f0ebf768fe,129
MFU-52348-1445-d1-1_S49,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,84695
MFU-52348-1447-d1-1_S51,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,40418
MFU-52348-1447-d1-3_S63,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,58716
MFU-52348-1447-d1-2_S57,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,46916
MFU-52348-1445-d1-2_S55,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,68130
MFU-52348-1446-d1-2_S56,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,45295
MFU-52348-1450-d1-1_S54,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,634
MFU-52348-1446-d1-1_S50,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,37319
MFU-52348-1446-d1-3_S62,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,49038
MFU-52348-1448-d1-1_S52,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,941
MFU-52348-1449-d1-1_S53,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,2268
MFU-52348-1445-d1-3_S61,MFU,57b8e6bb272d3b455e6af9bc845eab53580d2b01,76608
MFU-52348-1447-d1-2_S57,MFU,02ca61557c3d0075c463ff01a76124b390788efc,58
MFU-52348-1445-d1-3_S61,MFU,08b9a63fa870aa1c3fa66024030dbb3f2aa93860,16
MFU-52348-1446-d1-3_S62,MFU,b809469fd825a89e4406487b7bb9eb67f0722258,245
MFU-52348-1445-d1-1_S49,MFU,985b969fc7ed8cf36261661075c815f56d99b651,82
MFU-52348-1445-d1-2_S55,MFU,2fc246c8fe04fe54aee8f7517be194ba3695735c,64
MFU-52348-1446-d1-2_S56,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,55459
MFU-52348-1447-d1-2_S57,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,52712
MFU-52348-1448-d1-1_S52,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,15637
MFU-52348-1450-d1-1_S54,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,12780
MFU-52462-253-d10-1_S77,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,6121
MFU-52348-1450-d10-1_S60,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,364
MFU-52348-1445-d1-1_S49,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,29697
MFU-52348-1445-d1-3_S61,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,26980
MFU-52348-1448-d10-1_S58,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,334
MFU-52348-1446-d1-1_S50,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,52852
MFU-52348-1445-d1-2_S55,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,23745
MFU-52348-1446-d1-3_S62,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,78800
MFU-52348-1447-d1-1_S51,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,46701
MFU-52348-1449-d1-1_S53,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,5599
MFU-52348-1447-d1-3_S63,MFU,56b85a262e73a6e60ef0c6d33c4d23a70da33cc0,61665
MFU-52348-1447-d1-2_S57,MFU,855a6db09ad20bb1a85c42563364110f7193d633,123
MFU-52348-1447-d1-2_S57,MFU,cf6f5dd80090448ae69a27b519d6cd0820e30ff4,278
MFU-52348-1446-d1-2_S56,MFU,4987ed61a49e7ac29ca047ce7bdb0f428c8e7a1a,147
