"qseqid","ssciname","pident"
"98f92aa12195301ebbd47287eb23c45cffe10ffa","Oncorhynchus tshawytscha","1"
"634d5f7afc94d10e6d910998135507f8cc696675","Oncorhynchus tshawytscha","1"
"7aa929fd12fc38856e105d3092ae8752af4b44da","Osphranter rufus","1"
"5665aa2e55ea5163208ff750699263c29c27098e","Stenobrachius leucopsarus","1"
"edfb918a1c15712aff3efaaa86f46d5ee129315e","Clupea pallasii","1"
"82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f","Oncorhynchus nerka","1"
"b2220b6b1670d495c936dd53008e7ca257b5d6bc","Stenobrachius leucopsarus","1"
"db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","Engraulis mordax","0.988"
"6e25e02ff4de015d1dd4f1a25d104890310d7d91","Artedius harringtoni","1"
"2491ffcd22c019c38661946d58a65159025d397d","Clupea pallasii","1"
"941de38457f3eae76bef716dcee28be997145559","Artedius harringtoni","1"
"f73b53947ba4f4022c11b6f53bd76b568a35cf84","Engraulis mordax","0.989"
"eedc937a4c6868cf6c77409e1133bf9188d7d9fc","Clupea pallasii","1"
"608960b8da9ff68e2efa11623e04234b0ec7d60b","Tursiops truncatus","1"
"c61b09b9e3bd289ce4a2e530d54ff53217504928","Sardinops sagax","1"
"8605ceee78ae0051e84cbb2ad016d5bc3ec5e9cb","Merluccius productus","1"
"a277b296e64675e0c9c06e9404423af6cc24d71a","Chitonotus pugetensis","1"
"02e4a86c119ca4b65e5b616135fa996aa2eb4372","Oncorhynchus kisutch","1"
"2388a63c66eb39c03c474a4d0c9d7b0d99782629","Sardinops sagax","1"
"8c6e1dc9cf052a3f21536460a743303cc188b81b","Cottus spp.",""
"d348c23013e4fa8ffe0fe3396d9f3451fe88db6b","Merluccius productus","1"
"77d9116a50958f69e026eea6c993a9d44bbc4ff0","Oncorhynchus kisutch","1"
"3a6a9122e22ef8cce1f5cb1d9da6fda8b3a157ef","Citharichthys sordidus","1"
"90ea3580ac4dbca98132b3ac7ef3c9fcf300ff51","Artedius fenestralis","0.994"
"b0bce780cd67e88dc9e76d8d726cfd2f5cfc5a1d","Artedius fenestralis","0.994"
"fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","Leuroglossus schmidti","0.994"
