Species_name,MFU-CPS-mock2-even-d1-1_S1,MFU-CPS-mock2-even-d1-2_S2,MFU-CPS-mock2-even-d1-3_S3,MFU-CPS-mock2-skew-d1-1_S9,MFU-CPS-mock2-skew-d1-2_S10,MFU-CPS-mock2-skew-d1-3_S11,MFU-CPS-mock3-even-d1-1_S4,MFU-CPS-mock3-even-d1-2_S5,MFU-CPS-mock3-even-d1-3_S6,MFU-CPS-mock3-skew-d1-1_S12,MFU-CPS-mock3-skew-d1-2_S13,MFU-CPS-mock3-skew-d1-3_S14,MFU-CPS-mock4-even-d1-1_S127,MFU-CPS-mock4-even-d1-2_S128,MFU-CPS-mock4-even-d1-3_S129,MFU-CPS-mock4-skew-d1-1_S130,MFU-CPS-mock4-skew-d1-2_S131,MFU-CPS-mock4-skew-d1-3_S132,MFU-KAT-B22-d1-1_S87,MFU-KAT-B25-d1-1_S88,MFU-KAT-B26-d1-1_S89,MFU-OCNMS-2022-1-d100-1_S17,MFU-OCNMS-2022-10-d10-1_S26,MFU-OCNMS-2022-11-d10-1_S27,MFU-OCNMS-2022-12-d10-1_S28,MFU-OCNMS-2022-13-d1-1_S29,MFU-OCNMS-2022-14-d10-1_S30,MFU-OCNMS-2022-15-d10-1_S31,MFU-OCNMS-2022-16-d1-1_S32,MFU-OCNMS-2022-17-d10-1_S33,MFU-OCNMS-2022-18-d10-1_S34,MFU-OCNMS-2022-19-d10-1_S35,MFU-OCNMS-2022-2-d10-1_S18,MFU-OCNMS-2022-20-d10-1_S36,MFU-OCNMS-2022-21-d10-1_S37,MFU-OCNMS-2022-22-d10-1_S38,MFU-OCNMS-2022-23-d10-1_S39,MFU-OCNMS-2022-3-d10-1_S19,MFU-OCNMS-2022-4-d1-1_S20,MFU-OCNMS-2022-5-d10-1_S21,MFU-OCNMS-2022-6-d1-1_S22,MFU-OCNMS-2022-7-d10-1_S23,MFU-OCNMS-2022-8-d10-1_S24,MFU-OCNMS-2022-9-d10-1_S25,MFU-OCNMS-2022-EB-d1-1_S40,MFU-mock1-even-d1-1_S41,MFU-mock1-even-d1-2_S42,MFU-mock1-even-d1-3_S43,MFU-mock1-skew-d1-1_S44,MFU-mock1-skew-d1-2_S45,MFU-mock1-skew-d1-3_S46,MFU-pos-control-d1-1_S8,MFU-pos-control-d1-2_S16,MV1-CPS-mock2-even-d1-1_S47,MV1-CPS-mock2-even-d1-2_S48,MV1-CPS-mock2-even-d1-3_S49,MV1-CPS-mock2-skew-d1-1_S55,MV1-CPS-mock2-skew-d1-2_S56,MV1-CPS-mock2-skew-d1-3_S57,MV1-CPS-mock3-even-d1-1_S50,MV1-CPS-mock3-even-d1-2_S51,MV1-CPS-mock3-even-d1-3_S52,MV1-CPS-mock3-skew-d1-1_S58,MV1-CPS-mock3-skew-d1-2_S59,MV1-CPS-mock3-skew-d1-3_S60,MV1-CPS-mock4-even-d1-1_S121,MV1-CPS-mock4-even-d1-2_S122,MV1-CPS-mock4-even-d1-3_S123,MV1-CPS-mock4-skew-d1-1_S124,MV1-CPS-mock4-skew-d1-2_S125,MV1-CPS-mock4-skew-d1-3_S126,MV1-NTC-d1-2_S53,MV1-OCNMS-2022-1-d100-1_S63,MV1-OCNMS-2022-10-d10-1_S72,MV1-OCNMS-2022-11-d10-1_S73,MV1-OCNMS-2022-12-d10-1_S74,MV1-OCNMS-2022-13-d1-1_S75,MV1-OCNMS-2022-14-d10-1_S76,MV1-OCNMS-2022-15-d10-1_S77,MV1-OCNMS-2022-16-d1-1_S78,MV1-OCNMS-2022-17-d10-1_S79,MV1-OCNMS-2022-18-d10-1_S80,MV1-OCNMS-2022-19-d10-1_S81,MV1-OCNMS-2022-2-d10-1_S64,MV1-OCNMS-2022-20-d10-1_S82,MV1-OCNMS-2022-21-d10-1_S83,MV1-OCNMS-2022-22-d10-1_S84,MV1-OCNMS-2022-23-d10-1_S85,MV1-OCNMS-2022-3-d10-1_S65,MV1-OCNMS-2022-4-d1-1_S66,MV1-OCNMS-2022-5-d10-1_S67,MV1-OCNMS-2022-6-d1-1_S68,MV1-OCNMS-2022-7-d10-1_S69,MV1-OCNMS-2022-8-d10-1_S70,MV1-OCNMS-2022-9-d10-1_S71,MV1-OCNMS-2022-EB-d1-1_S86,MV1-pos-control-d1-1_S62,MV1-pos-control-d1-2_S54
Oncorhynchus tshawytscha,2466,2791,1867,1066,1393,1368,1594,2563,2113,579,757,627,936,1210,1848,930,1085,338,0,134,0,58901,45702,108412,61411,134073,80306,68023,47668,60233,59514,45801,52742,43557,45206,47514,21513,51561,34648,46505,57798,49995,59528,158995,36472,346,345,255,70,66,114,0,0,3897,2138,1931,2107,589,730,2659,2427,1981,747,430,579,1152,1498,703,524,524,1456,0,40168,86234,19848,34638,75260,52801,43199,26261,99688,100942,100130,104444,63311,37258,27823,55538,35409,38421,997,22502,57697,44857,9630,88042,0,0
Clupea pallasii,2773,3031,2186,473,582,545,0,0,0,0,0,0,448,536,855,561,547,109,865,1984,3729,0,134,103,0,0,36702,25861,11608,6927,6503,9927,0,16455,25358,22073,833,258,86,239,0,0,189,342,0,18357,23693,13631,17612,16301,27948,0,0,5329,3168,2833,1313,366,532,0,0,0,0,0,0,597,800,369,252,245,736,0,0,360,48,0,0,24026,20622,8894,17268,18545,30795,1641,29090,24352,15525,2667,523,47,0,0,0,0,0,0,0,0
Osphranter rufus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32339,345453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14636,31924
Stenobrachius leucopsarus,0,0,0,3,3,0,16340,42212,30462,26816,25182,34336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,47219,41811,28903,32485,18319,22214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engraulis mordax,9428,9655,7206,8508,10113,9683,7410,11924,10412,7517,9254,7953,3804,4346,7942,5030,4765,1169,0,60,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10105,8921,5801,1338,1622,2562,0,0,16608,10023,8760,21795,5913,7474,15919,14740,10846,12244,7067,9723,5129,6914,3529,2457,2557,6947,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artedius harringtoni,0,0,0,0,0,0,0,0,0,0,0,0,8045,10616,16349,44521,47180,11369,0,0,0,0,0,0,0,0,126,128,480,319,275,151,0,50,290,364,121,0,0,512,0,508,1195,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9990,13080,6729,25743,25596,65953,0,0,745,0,947,0,755,1236,990,0,0,0,3333,0,676,0,1098,349,308,25,0,659,1492,0,0,0,0
Merluccius productus,6538,7206,4794,2349,2808,2555,5812,9961,7488,2780,3614,3246,2556,2756,5064,1913,1733,439,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8850,7557,5161,7365,8112,14015,0,0,10815,6702,5884,6330,1509,2153,11223,11070,7830,4279,2456,3346,3084,4242,1964,757,817,2233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus nerka,13582,14001,8965,18635,23867,22222,0,0,0,0,0,0,5953,7864,12046,12032,12238,2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,4444,3060,4361,4318,7699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardinops spp.  ||  Sardinops melanostictus | Sardinops sagax,7834,8708,5766,1389,1615,1549,5971,9530,8081,846,979,881,5079,5681,10170,1891,1443,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14282,8324,7401,4015,1132,1476,12334,11550,8432,1303,777,1004,6757,9441,4164,762,866,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus kisutch,0,0,0,0,0,0,3150,5203,4331,8686,11199,9271,2067,2614,3828,8240,9128,2154,0,0,0,772,373,1494,3560,1681,765,573,321,715,484,218,688,530,213,499,153,323,613,669,319,541,401,1446,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5179,4796,3516,10758,6597,8595,2297,3172,1554,3844,4406,11308,0,769,747,235,0,769,269,248,208,960,830,1135,1448,482,237,141,561,246,520,0,659,388,493,77,967,0,0
