Sample_name,Label,Hash,nReads
MV1-OCNMS-2022-17-d10-1_S79,MFU,93f1e5eef5d9f773654211660261f959fe6688af,41
MV1-OCNMS-2022-19-d10-1_S81,MFU,1629f2fe2041dbd8f8b794ba16c80a4c30cacd54,20
MV1-OCNMS-2022-17-d10-1_S79,MFU,bf191faccbb083c55c5fc2f9ce431bf2a9229c71,17
MV1-OCNMS-2022-12-d10-1_S74,MFU,e5abad71f78458a427738102496e2fe3b3a56437,110
MV1-OCNMS-2022-19-d10-1_S81,MFU,2642b41e84446477ca2f244ea3f4387aeabaa66d,12
MV1-OCNMS-2022-18-d10-1_S80,MFU,d4b9d4356637cf5ba8e09356b20f76cfb8646f21,45
MV1-OCNMS-2022-20-d10-1_S82,MFU,a411122496936b3d128c6b15454d0e1364a3587a,10
MV1-OCNMS-2022-4-d1-1_S66,MFU,4a2a9b70813ac67bcfbd49bdf751ebe29eaf000f,43
MV1-OCNMS-2022-23-d10-1_S85,MFU,f3e3d2fb11ea54b7a854d4a48f2c61055eb31fd2,30
MV1-OCNMS-2022-17-d10-1_S79,MFU,9b45909a0c0db95600baf5f0cddc696fdca9565c,154
MV1-OCNMS-2022-3-d10-1_S65,MFU,9b45909a0c0db95600baf5f0cddc696fdca9565c,13
MV1-OCNMS-2022-16-d1-1_S78,MFU,3b37612569c2f9e578f20095aed469b38bf4784a,100
MV1-OCNMS-2022-12-d10-1_S74,MFU,78ee4f1ce2337124b2636d83d9b12a4ff425b517,8
MV1-OCNMS-2022-6-d1-1_S68,MFU,9d7fb3c8f4cec7ce3c1a998bde2624ec8b55c0a2,2
MV1-OCNMS-2022-18-d10-1_S80,MFU,5bb331c693923e6b2990b2757b009f8601c196ed,4
MV1-OCNMS-2022-8-d10-1_S70,MFU,fa66aaff45529885e834a77260b6837724d2aab6,29
MV1-OCNMS-2022-12-d10-1_S74,MFU,1f797e7ad790af346670e690d746197a83be4563,47
MV1-OCNMS-2022-13-d1-1_S75,MFU,4c258a9fa0571db644456e05a925e4efb1cf4fc8,23
MV1-OCNMS-2022-19-d10-1_S81,MFU,be4fe7969149725cac5ae633701a61546949d408,129
MV1-CPS-mock2-skew-d1-3_S57,MFU,8209c93b9b2bb6793a53db2208664fca56af9d4d,3
MV1-CPS-mock2-even-d1-2_S48,MFU,8209c93b9b2bb6793a53db2208664fca56af9d4d,2
MV1-CPS-mock2-skew-d1-1_S55,MFU,8209c93b9b2bb6793a53db2208664fca56af9d4d,3
MV1-OCNMS-2022-18-d10-1_S80,MFU,137d67be81285c1acead497ba7246e59d310be7b,382
MV1-OCNMS-2022-18-d10-1_S80,MFU,ee9c84aaaaf82cdd77982ef0736aca69ae9984b5,160
MV1-OCNMS-2022-18-d10-1_S80,MFU,60d006f0c467b2b2988597dbfdbe410bfbfef5a1,41
MFU-OCNMS-2022-12-d10-1_S28,MFU,614c7652e2777f7d2f99a74375b6913dd543d507,32
MFU-OCNMS-2022-9-d10-1_S25,MFU,614c7652e2777f7d2f99a74375b6913dd543d507,12
MFU-KAT-B25-d1-1_S88,MFU,c9c48b5f462ccce8114d54f0d51233f0c269c725,152
MFU-KAT-B26-d1-1_S89,MFU,c9c48b5f462ccce8114d54f0d51233f0c269c725,161
MFU-OCNMS-2022-14-d10-1_S30,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,210
MFU-OCNMS-2022-23-d10-1_S39,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,73
MFU-OCNMS-2022-22-d10-1_S38,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,104
MFU-OCNMS-2022-6-d1-1_S22,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,95
MFU-OCNMS-2022-16-d1-1_S32,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,194
MFU-OCNMS-2022-21-d10-1_S37,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,79
MFU-OCNMS-2022-18-d10-1_S34,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,195
MFU-OCNMS-2022-15-d10-1_S31,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,158
MFU-OCNMS-2022-20-d10-1_S36,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,97
MFU-OCNMS-2022-19-d10-1_S35,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,215
MFU-OCNMS-2022-12-d10-1_S28,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,91
MFU-OCNMS-2022-17-d10-1_S33,MFU,f58165a03d83170c45f1abbea86a652f8ba78a84,299
MV1-OCNMS-2022-18-d10-1_S80,MFU,47e2032a68bec0fb8a5abcb6f1c2f042766870a8,3
MV1-OCNMS-2022-21-d10-1_S83,MFU,7132c9191c13595744fec4c0cd741762e87d0a76,5
MV1-OCNMS-2022-14-d10-1_S76,MFU,4c0a4dce8bd3f887e902073f488885bce0d21a81,2
MV1-OCNMS-2022-22-d10-1_S84,MFU,9344cee0cb910d29dab6c0bbe7db33b93c45a92d,12
