Sample_name,Label,Hash,nReads
MV1-OCNMS-2022-17-d10-1_S79,MV1,2789d26748d0b59230eea70dc79cfbf05389693f,4
MV1-OCNMS-2022-17-d10-1_S79,MV1,93f1e5eef5d9f773654211660261f959fe6688af,39
MV1-OCNMS-2022-19-d10-1_S81,MV1,1629f2fe2041dbd8f8b794ba16c80a4c30cacd54,20
MV1-OCNMS-2022-18-d10-1_S80,MV1,588e91acbcb588374b9f01503a6d6c5e4ed46ed4,205
MV1-OCNMS-2022-17-d10-1_S79,MV1,bf191faccbb083c55c5fc2f9ce431bf2a9229c71,17
MV1-OCNMS-2022-12-d10-1_S74,MV1,e5abad71f78458a427738102496e2fe3b3a56437,110
MV1-OCNMS-2022-22-d10-1_S84,MV1,a164771b3c54ff191886519ea24eb087f898431c,2
MV1-OCNMS-2022-18-d10-1_S80,MV1,43251ab1bba76eda2964d0841af6a7f27bd6d554,3
MV1-OCNMS-2022-19-d10-1_S81,MV1,2642b41e84446477ca2f244ea3f4387aeabaa66d,12
MV1-OCNMS-2022-18-d10-1_S80,MV1,d4b9d4356637cf5ba8e09356b20f76cfb8646f21,45
MV1-OCNMS-2022-20-d10-1_S82,MV1,a411122496936b3d128c6b15454d0e1364a3587a,10
MV1-OCNMS-2022-19-d10-1_S81,MV1,4c7dc9a67da9c476adee9b70d727bfcddcc6e720,19
MV1-OCNMS-2022-8-d10-1_S70,MV1,b984a2f7b1d264de6075aebeaa043cc5bf412ef1,3
MV1-OCNMS-2022-19-d10-1_S81,MV1,5a952751d7cfc45e0b911a158f563d76fa05e920,15
MV1-OCNMS-2022-17-d10-1_S79,MV1,5a952751d7cfc45e0b911a158f563d76fa05e920,40
MV1-OCNMS-2022-17-d10-1_S79,MV1,780efd86510feb65dde6a9f0d76650ae544b556c,93
MV1-OCNMS-2022-4-d1-1_S66,MV1,4a2a9b70813ac67bcfbd49bdf751ebe29eaf000f,43
MV1-OCNMS-2022-23-d10-1_S85,MV1,f3e3d2fb11ea54b7a854d4a48f2c61055eb31fd2,30
MV1-OCNMS-2022-18-d10-1_S80,MV1,dd84fd052252569eeb6a5cd93804531d0102b49f,52
MV1-OCNMS-2022-12-d10-1_S74,MV1,0e1d26ba66eb73504af09ab420f13ba075cb6c4a,87
MV1-OCNMS-2022-17-d10-1_S79,MV1,9b45909a0c0db95600baf5f0cddc696fdca9565c,154
MV1-OCNMS-2022-3-d10-1_S65,MV1,9b45909a0c0db95600baf5f0cddc696fdca9565c,13
MV1-OCNMS-2022-15-d10-1_S77,MV1,0e6a96a3879001154c918903c651f02e96be9b56,34
MV1-OCNMS-2022-16-d1-1_S78,MV1,0e6a96a3879001154c918903c651f02e96be9b56,53
MV1-OCNMS-2022-20-d10-1_S82,MV1,5e3d6460c35ff3d609a31204dcbd85703e571138,33
MV1-OCNMS-2022-21-d10-1_S83,MV1,5e3d6460c35ff3d609a31204dcbd85703e571138,6
MV1-OCNMS-2022-16-d1-1_S78,MV1,3b37612569c2f9e578f20095aed469b38bf4784a,97
MV1-OCNMS-2022-12-d10-1_S74,MV1,78ee4f1ce2337124b2636d83d9b12a4ff425b517,7
MV1-OCNMS-2022-6-d1-1_S68,MV1,9d7fb3c8f4cec7ce3c1a998bde2624ec8b55c0a2,2
MV1-OCNMS-2022-18-d10-1_S80,MV1,5bb331c693923e6b2990b2757b009f8601c196ed,4
MV1-OCNMS-2022-19-d10-1_S81,MV1,c0f6987bf9ce788a35c6f445f943cc79703304ca,11
MV1-OCNMS-2022-18-d10-1_S80,MV1,63b73b7b8e7fd6116c979cbe0b7eb2a7a63787c7,79
MV1-OCNMS-2022-8-d10-1_S70,MV1,fa66aaff45529885e834a77260b6837724d2aab6,29
MV1-OCNMS-2022-12-d10-1_S74,MV1,1f797e7ad790af346670e690d746197a83be4563,47
MV1-OCNMS-2022-16-d1-1_S78,MV1,e517f615f3d6d91e0626dc16004be553c21d4796,6
MV1-OCNMS-2022-17-d10-1_S79,MV1,e517f615f3d6d91e0626dc16004be553c21d4796,55
MV1-OCNMS-2022-13-d1-1_S75,MV1,4c258a9fa0571db644456e05a925e4efb1cf4fc8,23
MV1-OCNMS-2022-19-d10-1_S81,MV1,777b36cd032cad0ed9516d06f53419a43c0f78a2,11
