Sample_name,BestTaxon,Class,nReads
MV1-CPS-mock2-even-d1-1_S47,Anoplopoma fimbria,Actinopteri,7
MV1-CPS-mock2-even-d1-1_S47,Citharichthys sordidus,Actinopteri,20473
MV1-CPS-mock2-even-d1-1_S47,Clupea pallasii,Actinopteri,5288
MV1-CPS-mock2-even-d1-1_S47,Cottidae,Actinopteri,9660
MV1-CPS-mock2-even-d1-1_S47,Diaphus theta,Actinopteri,16
MV1-CPS-mock2-even-d1-1_S47,Engraulis mordax,Actinopteri,16511
MV1-CPS-mock2-even-d1-1_S47,Eopsetta jordani,Actinopteri,11
MV1-CPS-mock2-even-d1-1_S47,Hemilepidotus hemilepidotus,Actinopteri,13
MV1-CPS-mock2-even-d1-1_S47,Hexagrammos decagrammus,Actinopteri,11
MV1-CPS-mock2-even-d1-1_S47,Hydrolagus colliei,Chondrichthyes,12
MV1-CPS-mock2-even-d1-1_S47,Icichthys lockingtoni,Actinopteri,19
MV1-CPS-mock2-even-d1-1_S47,Lampanyctus tenuiformis,Actinopteri,3
MV1-CPS-mock2-even-d1-1_S47,Lycodapus mandibularis,Actinopteri,13
MV1-CPS-mock2-even-d1-1_S47,Macrouridae,Actinopteri,10
MV1-CPS-mock2-even-d1-1_S47,Merluccius productus,Actinopteri,10773
MV1-CPS-mock2-even-d1-1_S47,Microstomus pacificus,Actinopteri,5311
MV1-CPS-mock2-even-d1-1_S47,Oncorhynchus keta,Actinopteri,6715
MV1-CPS-mock2-even-d1-1_S47,Oncorhynchus nerka,Actinopteri,19823
MV1-CPS-mock2-even-d1-1_S47,Oncorhynchus tshawytscha,Actinopteri,3902
MV1-CPS-mock2-even-d1-1_S47,Sardinops,Actinopteri,14235
MV1-CPS-mock2-even-d1-1_S47,Scomber australasicus,Actinopteri,12115
MV1-CPS-mock2-even-d1-1_S47,Sebastes,Actinopteri,28
MV1-CPS-mock2-even-d1-1_S47,Somniosus,Chondrichthyes,3
MV1-CPS-mock2-even-d1-1_S47,Tactostoma macropus,Actinopteri,6883
MV1-CPS-mock2-even-d1-1_S47,Tarletonbeania crenularis,Actinopteri,9153
MV1-CPS-mock2-even-d1-1_S47,Thaleichthys pacificus,Actinopteri,5496
MV1-CPS-mock2-even-d1-1_S47,Thunnus,Actinopteri,358
MV1-CPS-mock2-even-d1-1_S47,Trachurus,Actinopteri,2603
MV1-CPS-mock2-even-d1-1_S47,Xystreurys liolepis,Actinopteri,5
MV1-CPS-mock2-even-d1-2_S48,Bathyraja trachura,Chondrichthyes,4
MV1-CPS-mock2-even-d1-2_S48,Caulolatilus princeps,Actinopteri,3
MV1-CPS-mock2-even-d1-2_S48,Citharichthys sordidus,Actinopteri,11454
MV1-CPS-mock2-even-d1-2_S48,Clupea pallasii,Actinopteri,3153
MV1-CPS-mock2-even-d1-2_S48,Cottidae,Actinopteri,6286
MV1-CPS-mock2-even-d1-2_S48,Diaphus theta,Actinopteri,5
MV1-CPS-mock2-even-d1-2_S48,Engraulis mordax,Actinopteri,9935
MV1-CPS-mock2-even-d1-2_S48,Hemilepidotus hemilepidotus,Actinopteri,9
MV1-CPS-mock2-even-d1-2_S48,Hydrolagus colliei,Chondrichthyes,12
MV1-CPS-mock2-even-d1-2_S48,Icichthys lockingtoni,Actinopteri,7
MV1-CPS-mock2-even-d1-2_S48,Lycodapus mandibularis,Actinopteri,16
MV1-CPS-mock2-even-d1-2_S48,Merluccius productus,Actinopteri,6663
MV1-CPS-mock2-even-d1-2_S48,Microstomus pacificus,Actinopteri,3035
MV1-CPS-mock2-even-d1-2_S48,Oncorhynchus keta,Actinopteri,3824
MV1-CPS-mock2-even-d1-2_S48,Oncorhynchus nerka,Actinopteri,10937
MV1-CPS-mock2-even-d1-2_S48,Oncorhynchus tshawytscha,Actinopteri,2125
MV1-CPS-mock2-even-d1-2_S48,Sardinops,Actinopteri,8269
MV1-CPS-mock2-even-d1-2_S48,Scomber australasicus,Actinopteri,7087
MV1-CPS-mock2-even-d1-2_S48,Scorpaena guttata,Actinopteri,3
MV1-CPS-mock2-even-d1-2_S48,Sebastes,Actinopteri,15
MV1-CPS-mock2-even-d1-2_S48,Stenobrachius leucopsarus,Actinopteri,3
MV1-CPS-mock2-even-d1-2_S48,Tactostoma macropus,Actinopteri,4113
MV1-CPS-mock2-even-d1-2_S48,Tarletonbeania crenularis,Actinopteri,5366
MV1-CPS-mock2-even-d1-2_S48,Thaleichthys pacificus,Actinopteri,3407
MV1-CPS-mock2-even-d1-2_S48,Thunnus,Actinopteri,284
