Sample,Rep,Species,Reads,Prop,Gene,Primer,Taq,BSA,TD
C16.IPSF.1,1,Carcharodon carcharias,1517,0.050578468,16S,C16,IPSF,0,0
C16.IPSF.2,2,Carcharodon carcharias,2593,0.053704202,16S,C16,IPSF,0,0
C16.IPSF.3,3,Carcharodon carcharias,1608,0.063852599,16S,C16,IPSF,0,0
C16.NPHF.1,1,Carcharodon carcharias,8662,0.056331983,16S,C16,NPHF,0,0
C16.NPHF.2,2,Carcharodon carcharias,6420,0.047363995,16S,C16,NPHF,0,0
C16.NPHF.3,3,Carcharodon carcharias,8484,0.053187221,16S,C16,NPHF,0,0
C16.PGTF.1,1,Carcharodon carcharias,4711,0.072732045,16S,C16,PGTF,1,0
C16.PGTF.2,2,Carcharodon carcharias,2998,0.060158523,16S,C16,PGTF,1,0
C16.PGTF.3,3,Carcharodon carcharias,4755,0.072725326,16S,C16,PGTF,1,0
C16.QMMM.1,1,Carcharodon carcharias,249,0.07087959,16S,C16,QMMM,0,0
C16.QMMM.2,2,Carcharodon carcharias,204,0.08967033,16S,C16,QMMM,0,0
C16.QMMM.3,3,Carcharodon carcharias,346,0.069338677,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Carcharodon carcharias,26186,0.094485177,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Carcharodon carcharias,25566,0.090437969,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Carcharodon carcharias,24227,0.08481388,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Carcharodon carcharias,9528,0.024444935,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Carcharodon carcharias,10665,0.027658841,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Carcharodon carcharias,5965,0.024227187,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Carcharodon carcharias,4,3.33E-05,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Carcharodon carcharias,2,1.70E-05,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Carcharodon carcharias,4,3.45E-05,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Carcharodon carcharias,5,4.44E-05,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Carcharodon carcharias,2,1.66E-05,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Carcharodon carcharias,0,0,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Carcharodon carcharias,4,4.19E-05,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Carcharodon carcharias,0,0,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Carcharodon carcharias,0,0,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Carcharodon carcharias,62,0.000468589,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Carcharodon carcharias,69,0.000434944,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Carcharodon carcharias,65,0.000399727,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Carcharodon carcharias,73,0.000438123,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Carcharodon carcharias,53,0.000361144,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Carcharodon carcharias,38,0.000382002,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Carcharodon carcharias,2,2.66E-05,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Carcharodon carcharias,0,0,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Carcharodon carcharias,0,0,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Carcharodon carcharias,189,0.001190244,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Carcharodon carcharias,154,0.001023038,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Carcharodon carcharias,255,0.001407751,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Carcharodon carcharias,0,0,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Carcharodon carcharias,5,5.62E-05,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Carcharodon carcharias,0,0,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Carcharodon carcharias,0,0,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Carcharodon carcharias,3,2.54E-05,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Carcharodon carcharias,2,1.80E-05,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Carcharodon carcharias,17,0.000167534,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Carcharodon carcharias,9,7.80E-05,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Carcharodon carcharias,7,9.44E-05,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Carcharodon carcharias,0,0,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Carcharodon carcharias,0,0,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Carcharodon carcharias,3,2.76E-05,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Carcharodon carcharias,48,0.000300869,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Carcharodon carcharias,28,0.000226991,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Carcharodon carcharias,48,0.00039888,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Carcharodon carcharias,5571,0.037368947,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Carcharodon carcharias,4056,0.029766404,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Carcharodon carcharias,2366,0.028586963,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Carcharodon carcharias,13284,0.084474799,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Carcharodon carcharias,11548,0.077925934,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Carcharodon carcharias,5945,0.077387693,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Carcharodon carcharias,13685,0.080402099,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Carcharodon carcharias,11384,0.082887973,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Carcharodon carcharias,10742,0.07398734,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Carcharodon carcharias,10229,0.060387985,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Carcharodon carcharias,7852,0.050952273,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Carcharodon carcharias,6014,0.046119986,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Carcharodon carcharias,7680,0.045293167,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Carcharodon carcharias,4866,0.045677703,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Carcharodon carcharias,7676,0.051868019,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Carcharodon carcharias,2171,0.016227287,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Carcharodon carcharias,2511,0.014960855,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Carcharodon carcharias,1672,0.01495608,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Carcharodon carcharias,24429,0.110804191,16S,MV3,IPSF,0,0
