Class,Species,Mismatch_MFUF,SeverityMismatch_MFUF,ClassMismatch_MFUF,Mismatch_MFUR,SeverityMismatch_MFUR,Mismatch_MV1F,SeverityMismatch_MV1F,Mismatch_MV1R,SeverityMismatch_MV1R,Mismatch_MV3F,SeverityMismatch_MV3F,Mismatch_MV3R,SeverityMismatch_MV3R,Mismatch_C16F,SeverityMismatch_C16F,Mismatch_C16R,SeverityMismatch_C16R,Mismatch_LRYF,SeverityMismatch_LRYF,Mismatch_LRYR,SeverityMismatch_LRYR
Chondrichthyes,Carcharodon carcharias,4,3,1,2,1,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0
Actinopteri,Ceratoscopelus townsendi,NA,NA,,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,2,,0,0
Actinopteri,Clupea pallasii,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,,2,
Actinopteri,Diogenichthys atlanticus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,3,,0,0
Actinopteri,Engraulis mordax,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,,0,0
Actinopteri,Hippoglossus stenolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,,0,0
Actinopteri,Leuroglossus stilbius,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,,0,0
Actinopteri,Merluccius productus,6,1,2,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,,3,
Actinopteri,Oncorhynchus nerka,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,,0,0
Actinopteri,Oncorhynchus tshawytscha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,,0,0
Actinopteri,Sardinops sagax,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,NA,,NA,
Actinopteri,Thaleichthys pacificus,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,,1,
Actinopteri,Trachurus symmetricus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,NA,,NA,
Mammalia,Phocoena phocoena,4,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,,1,
Mammalia,Orcinus orca,4,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Mammalia,Balaenoptera acutorostrata,4,3,4,1,1,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Mammalia,Phocoenoides dalli,4,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,,3,,0,0
Mammalia,Grampus griseus,4,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Mammalia,Balaenoptera musculus,4,2,5,0,0,0,0,0,0,0,0,0,0,1,1,3,,2,,0,0
Mammalia,Balaenoptera physalus,4,2,5,0,0,0,0,0,0,0,0,0,0,1,1,3,,NA,NA,NA,NA
Mammalia,Megaptera novaeangliae,4,2,5,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Mammalia,Delphinus delphis,4,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Mammalia,Physeter catodon,4,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,,2,,0,0
Mammalia,Ziphius cavirostris,4,2,5,0,0,0,0,0,0,0,0,0,0,1,1,3,,2,,0,0
Mammalia,Mesoplodon densirostris,4,2,5,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Mammalia,Globicephala macrorhynchus,4,2,5,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Mammalia,Peponocephala electra,4,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,,0,0
Cephalopoda,Cranchiidae sp,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopoda,Gonatus onyx,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopoda,Histioteuthis heteropsis,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopoda,Loligo opalescens,NA,NA,,NA,NA,NA,NA,NA,NA,2,,3,,0,0,0,0,NA,NA,NA,NA
Cephalopoda,Octopoteuthis deletron,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopoda,Onykia robusta,NA,NA,,NA,NA,NA,NA,NA,NA,2,,3,,0,0,1,,NA,NA,NA,NA
Malacostraca,Euphausia pacifica,NA,NA,,NA,NA,NA,NA,NA,NA,3,,3,,4,,0,0,2,,1,
Malacostraca,Thysanoessa spinifera,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malacostraca,Nematoscelis difficilis,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
