Sardinops sagax
Merluccius productus
Engraulis mordax
Hippoglossus stenolepis
Trachurus symmetricus
Oncorhynchus tshawytscha
Oncorhynchus nerka
Thaleichthys pacificus
Diogenichthys atlanticus
Clupea pallasii
Euphausia pacifica
Thysanoessa spinifera
Nematoscelis difficilis 
Carcharodon carcharias
Leuroglossus stilbius
Ceratoscopelus townsendi
Phocoena phocoena
Orcinus orca
Balaenoptera acutorostrata
Phocoenoides dalli
Grampus griseus
Balaenoptera musculus
Balaenoptera physalus
Megaptera novaeangliae
Delphinus delphis
Physeter catodon
Ziphius cavirostris
Mesoplodon densirostris
Globicephala macrorhynchus
Peponocephala electra
Cranchiidae sp
Gonatus onyx
Histioteuthis heteropsis
Loligo opalescens
Octopoteuthis deletron
Onykia robusta
