"Ssciname","scommname","qseqid","sseqid","pident","length","mismatch","gapopen","qcovus","qstart","qend","sstart","send","evalue","bitscore","staxids","qlen","qcovs","annotated_tax","pmatchsel","sum_Reads"
"Clupea pallasii","Pacific herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|985566912|dbj|LC091579.1|",100,172,0,0,100,1,172,1,172,1.56e-82,318,"30724",172,100,"Clupea pallasii","1",205114
"Clupea pallasii","Pacific herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|1848856272|dbj|LC552350.1|",99.419,172,1,0,100,1,172,1,172,7.27e-81,313,"30724",172,100,"Clupea pallasii","1",205114
"Clupea pallasii","Pacific herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|985564913|dbj|LC020932.1|",99.419,172,1,0,100,1,172,1,172,7.27e-81,313,"30724",172,100,"Clupea pallasii","1",205114
"Clupea pallasii","Pacific herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|148922558|ref|NC_009578.1|",99.419,172,1,0,100,1,172,315,486,7.27e-81,313,"30724",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259681|gb|KC193710.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259667|gb|KC193709.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259639|gb|KC193707.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259597|gb|KC193704.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259583|gb|KC193703.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259569|gb|KC193702.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
