"Ssciname","scommname","qseqid","sseqid","pident","length","mismatch","gapopen","qcovus","qstart","qend","sstart","send","evalue","bitscore","staxids","qlen","qcovs","annotated_tax","pmatchsel"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|985566961|dbj|LC091628.1|",100,163,0,0,100,1,163,8,170,1.47e-77,302,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|2329041622|gb|ON005616.1|",100,163,0,0,100,1,163,321,483,1.47e-77,302,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126625|gb|OL693876.1|",100,163,0,0,100,1,163,321,483,1.47e-77,302,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126393|gb|OL404930.1|",100,163,0,0,100,1,163,321,483,1.47e-77,302,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|2264236735|dbj|LC717563.1|",100,163,0,0,100,1,163,192,354,1.47e-77,302,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|307640018|gb|HQ167665.1|",100,163,0,0,100,1,163,253,415,1.47e-77,302,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|14647165|ref|NC_002980.1|",100,163,0,0,100,1,163,1307,1469,1.47e-77,302,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus tshawytscha","Chinook salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126465|gb|OL457394.1|",99.387,163,1,0,100,1,163,321,483,6.84e-76,296,"74940",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus nerka","sockeye salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|1585113455|gb|MH003639.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"8023",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus nerka","sockeye salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126639|gb|OL806599.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"8023",163,100,"Oncorhynchus tshawytscha","1"
